measurement,metric,label,direction,dependent_variable,predictor_variable,n,selected_p,selected_q,horizon,coefficient,hac_standard_error,ci95_low,ci95_high,p_value
LIWC-22,emo_anger,Anger,COVID-to-climate,climate_liwc_emo_anger_pct,covid_liwc_emo_anger_pct,705,1,1,long run,0.0392291581988153,0.1144373826121956,-0.185068111721088,0.2635264281187188,0.7317487718547744
LIWC-22,emo_anger,Anger,climate-to-COVID,covid_liwc_emo_anger_pct,climate_liwc_emo_anger_pct,705,4,1,short run,0.023355996576556,0.0136705029315338,-0.0034381891692502,0.0501501823223624,0.088002756150989
LIWC-22,emo_anger,Anger,climate-to-COVID,covid_liwc_emo_anger_pct,climate_liwc_emo_anger_pct,705,4,1,long run,0.056224983238639,0.0889205589600391,-0.1180593123230377,0.2305092788003158,0.5271870885287441
LIWC-22,emo_sad,Sadness,COVID-to-climate,climate_liwc_emo_sad_pct,covid_liwc_emo_sad_pct,705,1,1,short run,0.2080178600783643,0.1099544126480445,-0.0074927887118029,0.4235285088685315,0.0589348571570351
LIWC-22,emo_sad,Sadness,COVID-to-climate,climate_liwc_emo_sad_pct,covid_liwc_emo_sad_pct,705,1,1,long run,0.1926153332193929,0.1129294638265348,-0.0287264158806154,0.4139570823194012,0.0880778944732302
LIWC-22,emo_sad,Sadness,climate-to-COVID,covid_liwc_emo_sad_pct,climate_liwc_emo_sad_pct,705,2,1,short run,0.0440338222518262,0.0211936189814106,0.0024943290482612,0.0855733154553912,0.0381129180643918
LIWC-22,emo_sad,Sadness,climate-to-COVID,covid_liwc_emo_sad_pct,climate_liwc_emo_sad_pct,705,2,1,long run,0.1142875081377189,0.0400476190717447,0.0357941747570992,0.1927808415183385,0.0043201032886487
LIWC-22,emo_anx,Anxiety,COVID-to-climate,climate_liwc_emo_anx_pct,covid_liwc_emo_anx_pct,705,1,1,short run,0.2897081434487697,0.1633976273448581,-0.0305512061471521,0.6099674930446917,0.0766720786708781
LIWC-22,emo_anx,Anxiety,COVID-to-climate,climate_liwc_emo_anx_pct,covid_liwc_emo_anx_pct,705,1,1,long run,0.5118052659565404,0.142392786372784,0.2327154046658837,0.7908951272471971,0.0003252396758774
LIWC-22,emo_anx,Anxiety,climate-to-COVID,covid_liwc_emo_anx_pct,climate_liwc_emo_anx_pct,705,3,1,short run,0.0148957737751313,0.0102767751917372,-0.0052467056006737,0.0350382531509363,0.1476715596282124
LIWC-22,emo_anx,Anxiety,climate-to-COVID,covid_liwc_emo_anx_pct,climate_liwc_emo_anx_pct,705,3,1,long run,0.0748881803424681,0.0482171520761256,-0.019617437726738,0.1693937984116743,0.1203887368656036
LIWC-22,emo_neg,Negative emotion,COVID-to-climate,climate_liwc_emo_neg_pct,covid_liwc_emo_neg_pct,705,1,1,short run,0.1092371736626021,0.0727281339544912,-0.0333099688882007,0.2517843162134051,0.1335630355459932
LIWC-22,emo_neg,Negative emotion,COVID-to-climate,climate_liwc_emo_neg_pct,covid_liwc_emo_neg_pct,705,1,1,long run,0.1291346036316797,0.0622522156273606,0.0071202610020528,0.2511489462613066,0.0380442530337573
LIWC-22,emo_neg,Negative emotion,climate-to-COVID,covid_liwc_emo_neg_pct,climate_liwc_emo_neg_pct,705,3,1,short run,0.0261849936595148,0.0198653584155647,-0.0127511088349919,0.0651210961540217,0.1879074914760269
LIWC-22,emo_neg,Negative emotion,climate-to-COVID,covid_liwc_emo_neg_pct,climate_liwc_emo_neg_pct,705,3,1,long run,0.1752251582576113,0.1123327990100741,-0.0449471278021339,0.3953974443173566,0.1187893531125269
LIWC-22,emo_pos,Positive emotion,COVID-to-climate,climate_liwc_emo_pos_pct,covid_liwc_emo_pos_pct,705,1,1,short run,0.0321102221961924,0.2172020246762909,-0.3936057461693377,0.4578261905617227,0.8825162263507196
LIWC-22,emo_pos,Positive emotion,COVID-to-climate,climate_liwc_emo_pos_pct,covid_liwc_emo_pos_pct,705,1,1,long run,-0.227639700985159,0.2166839518104927,-0.6523402465337249,0.1970608445634068,0.2934602781585386
LIWC-22,emo_pos,Positive emotion,climate-to-COVID,covid_liwc_emo_pos_pct,climate_liwc_emo_pos_pct,705,6,1,short run,0.0029138953077292,0.0170085606386838,-0.030422883544091,0.0362506741595495,0.8640240216974082
LIWC-22,emo_pos,Positive emotion,climate-to-COVID,covid_liwc_emo_pos_pct,climate_liwc_emo_pos_pct,705,6,1,long run,-0.001840519031836,0.1101524680346365,-0.2177393563797237,0.2140583183160516,0.9866689015972516
VADER,negative,Negative sentiment,COVID-to-climate,climate_vader_negative_pct,covid_vader_negative_pct,705,2,1,short run,0.2941892890664916,0.0965912624713523,0.1048704146226411,0.4835081635103422,0.0024111778928872
VADER,negative,Negative sentiment,COVID-to-climate,climate_vader_negative_pct,covid_vader_negative_pct,705,2,1,long run,0.2735489780228813,0.0783696766777042,0.119944411734581,0.4271535443111817,0.0004821263253946
VADER,negative,Negative sentiment,climate-to-COVID,covid_vader_negative_pct,climate_vader_negative_pct,705,2,1,short run,0.0506286979701547,0.0173236046871571,0.0166744327833267,0.0845829631569828,0.0035874704934223
VADER,negative,Negative sentiment,climate-to-COVID,covid_vader_negative_pct,climate_vader_negative_pct,705,2,1,long run,0.1939755738748597,0.1218650509666033,-0.0448799260196828,0.4328310737694022,0.1114466456537359
VADER,positive,Positive sentiment,COVID-to-climate,climate_vader_positive_pct,covid_vader_positive_pct,705,4,1,short run,0.0782212932273702,0.1867233236981886,-0.2877564212210795,0.4441990076758199,0.6754107667657445
VADER,positive,Positive sentiment,COVID-to-climate,climate_vader_positive_pct,covid_vader_positive_pct,705,4,1,long run,0.0745476188746173,0.3236756512357535,-0.5598566575474596,0.7089518952966943,0.8178463784087184
VADER,positive,Positive sentiment,climate-to-COVID,covid_vader_positive_pct,climate_vader_positive_pct,705,2,1,short run,0.0025382056592539,0.0106747986300198,-0.018384399655585,0.0234608109740929,0.812126946446075
VADER,positive,Positive sentiment,climate-to-COVID,covid_vader_positive_pct,climate_vader_positive_pct,705,2,1,long run,-0.0076971230545825,0.0477714517522037,-0.1013291684889019,0.0859349223797368,0.8719958094503826
